# time [s]			Temp [K]			p_SG [C/Km2]			p_BR [C/Km2],			Phasediff [deg]			p/TSC-ratio			Mean I [A]			Red Chi				p_err [C/Km2]	
4.003670000000001323e+02	2.758744622711955117e+02	1.626293096110635844e-04	3.142156524266443525e-04	2.708173589246320034e+02	7.009392205484925853e+01	-4.748211644925373365e-11	1.850000227667332742e-01	1.757630039400152055e-06
6.013670000000000755e+02	2.772103425446476308e+02	1.629462329568836230e-04	4.529549924834597153e-05	2.703473063729618389e+02	1.649698428337225096e+02	-7.866065021144290012e-12	1.516324594674100246e-01	7.996344853695599301e-07
8.023670000000000755e+02	2.786249842966539063e+02	1.640050723669051380e-04	6.333302212449750410e-05	2.702968978350532439e+02	1.929797388914081466e+02	1.114483437288557407e-11	1.512023059696639138e-01	8.135411550384644265e-07
1.003367000000000075e+03	2.800442878535959039e+02	1.648813296093110863e-04	2.101151617457316595e-05	2.702995882134966337e+02	1.912467005329052370e+02	3.686283774378104854e-12	2.060372480453447619e-01	9.161026265673958202e-07
1.204367000000000189e+03	2.814591031688442513e+02	1.655084236617341143e-04	8.661785928012978499e-05	2.702407690965489451e+02	2.379684231886251098e+02	-1.514993836318408506e-11	1.999828764517980750e-01	9.179928577929483756e-07
1.405366999999999962e+03	2.828690066563019627e+02	1.661447315337390076e-04	1.957957133537116231e-04	2.704425936132650463e+02	1.294520258646656714e+02	-3.416485830895522989e-11	2.695729000676266862e-01	1.038750205585994767e-06
1.606366999999999962e+03	2.842755991581949502e+02	1.673947890400908235e-04	2.081065573493385320e-04	2.702020387324743638e+02	2.835869208448083896e+02	-3.622138428121890272e-11	1.802355977832893752e-01	8.773850802921327071e-07
1.807366999999999280e+03	2.856791580992319268e+02	1.683476822481259471e-04	1.078222757351361385e-04	2.700037298550682863e+02	1.536139565306551231e+04	-1.871604912374628248e-11	1.703559347703096638e-01	8.476447601280473410e-07
2.008366999999999280e+03	2.870795752486213246e+02	1.691770835520444436e-04	7.571548207379600265e-07	2.700714894614031323e+02	8.014572869265713280e+02	-1.311640412935369520e-13	1.845672101411331145e-01	8.860731430953370112e-07
2.209366999999999280e+03	2.884783638757435824e+02	1.702407091156761141e-04	7.026691111151080313e-05	2.699855759351535767e+02	3.972235213356307213e+03	1.216335546019900264e-11	1.748714147069977964e-01	8.742586353965809514e-07
2.410366999999999280e+03	2.898777109283737445e+02	1.680107214620826068e-04	2.629208605874472688e-05	2.722912592368840023e+02	2.499290906736365514e+01	4.559638976422893593e-12	2.300991941738281810e+00	3.063325462447090881e-06
2.611367000000000189e+03	2.912765931605159722e+02	1.719192393411926492e-04	9.786589295878587904e-05	2.700142680905698285e+02	4.015658440659254211e+03	-1.694645406691542374e-11	1.629302280915700396e-01	8.415597263688606521e-07
2.812367000000000189e+03	2.926744534218509557e+02	1.731381561650571310e-04	2.092137637969597658e-04	2.699261539902350933e+02	7.758814317774986193e+02	-3.623312737338307558e-11	1.697518057449349249e-01	8.789949270398629491e-07
3.013367000000000189e+03	2.940776606038440377e+02	1.706665502209740433e-04	2.028043444530260031e-04	2.709051711121429662e+02	6.329301937378972553e+01	-3.533739510099502361e-11	1.768211071643474241e+00	2.737664171751655562e-06
3.214367000000000189e+03	2.954738375578567116e+02	1.737333791066480635e-04	1.252440090949273621e-04	2.704290004926925803e+02	1.335539463833255240e+02	-2.155485919402984619e-11	2.018162069429793870e-01	9.851163322402037786e-07
3.415366999999998825e+03	2.968678898801166497e+02	1.748539092094300899e-04	7.550936778533739384e-06	2.702592924333602014e+02	2.209682235105488814e+02	1.304585297114435677e-12	1.784578716581561031e-01	9.342142109931220672e-07
3.616366999999998825e+03	2.982635229779635893e+02	1.746092307842674507e-04	7.726814998041841751e-05	2.712066390516562819e+02	4.747675673889008863e+01	1.337080006293532558e-11	8.989751019052669712e-01	2.066232989091625602e-06
3.817366999999998825e+03	2.996594687503985597e+02	1.769969695101957690e-04	2.199468271803420899e-05	2.702091063968717890e+02	2.740017808418396612e+02	3.800875191791049415e-12	1.975239070388158102e-01	9.975172192122127477e-07
4.018366999999998825e+03	3.010556494189119690e+02	1.772188191128803709e-04	9.826842995790613996e-05	2.709546943179298637e+02	6.000923624324614991e+01	-1.700463445398010973e-11	1.088339650006405757e+00	2.289453074132055491e-06
4.219366999999998370e+03	3.024522359752391480e+02	1.754386661897913843e-04	2.098243992291546744e-04	2.720796642560979990e+02	2.753839485625578121e+01	-3.625564166815920154e-11	2.238239052807310614e+00	3.471798738138451586e-06
4.420366999999998370e+03	3.038468829099974187e+02	1.790728010477142811e-04	2.214276938046168188e-04	2.708736887417180128e+02	6.557408356426947194e+01	-3.833096844651741464e-11	6.576502689510432820e-01	1.874665321239301113e-06
4.621366999999998370e+03	3.052431217491433131e+02	1.810686162587200475e-04	1.069713488021355337e-04	2.699721260883997616e+02	2.055534071238322667e+03	-1.851094107960198753e-11	2.499982214082650811e-01	1.165711103159840681e-06
4.822366999999998370e+03	3.066398116831347238e+02	1.787634941278737864e-04	5.107492373740741306e-06	2.718098353294504363e+02	3.164747709584148794e+01	8.848643355721398738e-13	1.982627016573619061e+00	3.334127342794698862e-06
5.023366999999998370e+03	3.080360423457302659e+02	1.830162091310363383e-04	1.126017862147272278e-05	2.699264518023448431e+02	7.790231422318936438e+02	1.947412057711448262e-12	1.529371625271102875e-01	9.347296296455821854e-07
5.224367000000000189e+03	3.094322380290300316e+02	1.840951436538305896e-04	3.368381117057214172e-05	2.698915712001914926e+02	5.284178300960869592e+02	-5.824305088805966161e-12	1.772094100463481592e-01	1.069557661118915315e-06
